Generation	1		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189
"140,2^15,4^1,14^1"	1496		1496	152	152	136	136	136	120	120	120	120	120	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	66	66	66	66	66	66	66	66	66	66	66	66	66	66	58	58	58	58	58	56	48	48	48	48	48	46	38	30	30	30	30	30	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	24	24	24	24	24	24	24	24	24	18	18	18	18	18	18	18	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	14	14	14	14	14	14	14	14	14	14	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12
"140,2^26,70^1"	2584		2584	316	232	232	232	228	208	208	208	152	152	120	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	70	70	70	70	70	70	70	70	70	70	68	68	66	66	66	66	66	66	66	66	66	66	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	50	50	50	50	50	50	50	50	50	50	46	46	46	46	46	46	38	38	38	38	38	38	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	34	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32
"140,2^2,4^2,28^4,14^1"	3249		3249	962	316	316	316	316	228	224	224	208	156	152	120	120	116	116	116	116	116	116	116	116	108	108	108	108	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	64	64	64	64	64	62	62	58	58	58	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	36
"140,2^26,4^1,7^2,10^1"	4500		4500	1300	352	352	352	348	316	316	252	224	208	156	152	152	152	152	152	152	152	152	152	152	152	152	152	152	108	108	108	108	108	108	108	108	108	108	108	108	108	104	104	104	104	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	72	72	72	72	72	72	68	68	68	68	68	64	64	62	62	62	62	62	62	62	62	60	60	60	60	60	60	60	60	60	60	60	60	60	50	50	50	50	50	50	50	50	50	50	50	50	50	50
"140,2^20,5^2,35^1,10^1,14^1"	4670		4670	1496	762	762	762	352	348	348	348	252	224	208	156	156	156	156	156	156	156	156	156	156	156	156	156	156	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	104	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	96	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	88	84	84	84	84	84	74	74	74	74	74	74	74	74	74	74	74	68	68	64	64	64	64	64	64	64	64	62	62	62	62	62	62	62	62	62	62	62	62	62	60	60	60	60	60	60	60	60	60	60	60	60	60	60
"140,2^30,10^1,14^2"	4958		4958	1518	962	784	784	762	352	352	352	326	252	224	206	206	204	204	204	204	204	204	204	204	204	202	202	202	156	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	144	142	134	134	134	134	134	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74
"140,5^1,2^13,10^2,20^1,14^2"	5446		5446	2584	992	820	820	784	412	412	412	348	326	252	208	208	206	206	206	206	206	206	206	206	206	204	204	204	202	156	156	156	156	156	156	156	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	148	148	148	148	148	148	148	148	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	146	144	144	144	144	144	140	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	134	124	124	124	124	124	124
"140,2^28,10^2,20^1"	5884		5884	3249	1300	950	950	800	648	580	488	352	336	326	224	224	208	208	208	208	208	208	208	208	208	208	208	208	204	202	202	202	170	170	170	170	156	156	156	156	156	156	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	148	148	148	148	148	148	148	148	146	146	146	146	146	144	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	140	136	136	136	136	136	136	136	136	128	128	128	128	128
"140,2^12,14^4,4^1,28^1,10^1"	6179		6179	4170	1496	992	992	820	762	648	580	412	352	336	252	252	224	224	224	224	224	224	224	224	224	224	224	224	208	204	204	204	204	204	204	204	170	170	170	170	170	170	156	156	156	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	148	148	148	148	148	146	144	144	144	144	144	144	144	144	144	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	142	140	140	140	140	140	138	138	138	136	136	136	136	136
